points_from,points_to,juror_a_ranking,juror_b_ranking,juror_c_ranking,juror_d_ranking,juror_e_ranking,jury_rank,televoting_rank
Ukraine, France,12,1,10,2,2,10 points 2nd,5 points 6th
Ukraine, Germany,18,21,19,21,13,20th,14th
Ukraine, Greece,16,6,20,13,21,15th,16th
Ukraine, Iceland,11,8,5,7,6,4 points 7th,6 points 5th
Ukraine, Israel,4,5,2,17,4,7 points 4th,13th
Ukraine, Italy,1,2,4,1,1,12 points 1st,12 points 1st
Ukraine, Lithuania,13,11,8,9,7,11th,10 points 2nd
Ukraine, Malta,6,3,6,6,10,5 points 6th,11th
Ukraine, Moldova,15,13,24,20,19,19th,18th
Ukraine, Norway,2,19,14,19,11,1 point 10th,12th
Ukraine, Portugal,7,17,7,12,5,2 points 9th,19th
Ukraine, Russia,17,25,25,15,25,22nd,4 points 7th
Ukraine, San Marino,25,18,23,25,17,25th,20th
Ukraine, Serbia,24,16,22,16,23,21st,22nd
Ukraine, Spain,21,20,18,4,15,13th,25th
Ukraine, Sweden,10,7,12,11,8,12th,2 points 9th
Ukraine, Switzerland,5,4,1,3,12,8 points 3rd,7 points 4th
Ukraine, The Netherlands,20,24,17,23,18,23rd,24th
Ukraine, United Kingdom,22,23,21,22,9,18th,23rd
United Kingdom, Albania,21,15,16,18,19,22nd,21st
United Kingdom, Azerbaijan,25,9,19,22,17,19th,19th
United Kingdom, Belgium,11,6,9,6,22,1 point 10th,25th
United Kingdom, Bulgaria,13,4,6,7,5,5 points 6th,8 points 3rd
United Kingdom, Cyprus,15,23,17,14,13,21st,13th
United Kingdom, Finland,3,16,4,13,8,4 points 7th,7 points 4th
United Kingdom, France,4,1,3,2,2,12 points 1st,5 points 6th
United Kingdom, Germany,16,25,24,23,15,24th,15th
United Kingdom, Greece,18,12,22,12,23,20th,16th
United Kingdom, Iceland,5,14,2,1,1,10 points 2nd,10 points 2nd
United Kingdom, Israel,1,5,11,11,12,6 points 5th,18th
United Kingdom, Italy,14,24,14,15,9,17th,3 points 8th
United Kingdom, Lithuania,22,13,21,20,25,23rd,12 points 1st
United Kingdom, Malta,12,18,15,10,11,16th,6 points 5th
United Kingdom, Moldova,23,2,23,17,21,13th,20th
United Kingdom, Norway,20,22,25,25,16,25th,2 points 9th
United Kingdom, Portugal,2,19,5,9,3,7 points 4th,11th
United Kingdom, Russia,17,7,13,16,18,15th,14th
United Kingdom, San Marino,10,10,10,4,10,3 points 8th,17th
United Kingdom, Serbia,19,11,18,8,4,12th,23rd
United Kingdom, Spain,8,17,12,5,7,2 points 9th,24th
United Kingdom, Sweden,7,21,7,19,24,14th,12th
United Kingdom, Switzerland,9,3,1,3,14,8 points 3rd,1 point 10th
United Kingdom, The Netherlands,6,20,8,21,6,11th,22nd
United Kingdom, Ukraine,24,8,20,24,20,18th,4 points 7th
